,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송서비스,금융 및 보험서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계,총산출,수입,생산물세(수입),수입계,도소매마진,화물운임,총공급계
건설,"88,514","32,490","115,964","17,981","52,301","105,287","239,147","35,374","173,084","142,250","79,641","106,790","86,476","23,178","15,431","19,997","294,042","116,218","22,772","382,154","135,823","862,064","378,330","59,155","18,831,564","837,373","366,211","850,453","169,025","98,138","151,080","166,440","8,090","25,062,837",0,0,"239,341,758","75,543,183","2,120,576",0,"171,495","317,177,012","342,239,849","342,238,299","1,550",0,"1,550",0,0,"342,239,849"
도소매 및 상품중개서비스,"4,017,209","92,735","13,462,055","6,233,010","3,475,883","2,667,447","16,297,636","2,168,116","4,793,951","4,627,359","12,829,244","7,574,944","7,673,225","14,473,615","2,501,432","2,360,968","3,590,237","1,036,779","12,332,647","17,942,218","3,342,006","17,133,669","8,902,929","532,693","771,050","6,796,534","2,561,456","2,237,644","2,524,334","13,549,614","1,885,064","3,582,370","43,486","204,013,559","134,942,015",0,"20,207,842","1,806,222","582,671","578,417","39,426,548","197,543,715","401,557,274","396,488,672","5,068,602",0,"5,068,602",0,0,"401,557,274"
운송서비스,"1,919,167","799,284","6,346,706","2,668,966","2,365,196","1,716,791","11,761,475","5,779,159","5,382,372","3,816,276","4,240,610","2,821,897","4,171,193","3,826,162","1,062,698","1,535,413","700,835","3,021,647","3,493,413","30,984,703","36,280,065","3,439,509","1,733,366","763,410","734,963","4,637,907","2,409,856","2,789,128","779,792","1,650,316","456,533","1,197,763","194,310","155,480,881","46,349,360",0,"454,497","177,198","90,062","9,663","51,177,729","98,258,509","253,739,390","221,215,271","32,524,119",0,"32,524,119",0,0,"253,739,390"
음식점 및 숙박서비스,"486,496","118,589","714,237","554,536","579,581","281,811","1,877,941","397,497","909,887","1,188,218","1,271,637","654,787","1,409,906","1,251,367","249,705","2,627,810","395,221","706,263","1,124,688","16,374,635","2,603,168","1,489,195","3,506,755","4,440,413","2,669,324","13,245,276","4,849,979","5,957,103","4,252,669","5,569,033","2,299,807","5,143,416","7,472","89,208,422","143,478,057",0,0,0,0,0,"10,651,506","154,129,563","243,337,985","223,735,804","19,602,181",0,"19,602,181",0,0,"243,337,985"
정보통신 및 방송서비스,"188,130","26,237","380,285","190,878","371,296","552,800","883,077","168,970","631,418","565,439","1,494,611","449,424","653,347","799,174","268,440","621,396","203,385","580,315","863,463","10,892,513","2,462,241","2,378,818","36,692,460","10,613,194","1,313,214","23,465,329","2,729,996","4,923,042","4,578,307","1,581,861","4,156,063","1,552,462","39,355","117,270,940","57,033,560",0,"43,922,864","791,918","37,855",0,"21,485,525","123,271,722","240,542,662","218,302,817","22,239,838",7,"22,239,845",0,0,"240,542,662"
금융 및 보험서비스,"1,170,064","65,479","1,831,397","1,070,524","845,742","1,187,810","4,178,066","684,791","1,732,784","1,829,612","2,949,714","1,708,449","2,643,984","3,028,415","377,441","688,620","1,513,844","716,668","4,692,734","9,394,744","2,698,034","3,596,568","2,479,141","42,355,592","21,428,865","3,519,114","1,570,014","4,774,938","3,079,717","4,478,359","1,171,943","1,838,555",0,"135,301,722","94,642,976","149,222",0,0,0,0,"9,183,457","103,975,655","239,277,377","230,943,184","8,334,193",0,"8,334,193",0,0,"239,277,377"
부동산서비스,"35,782","6,525","355,125","278,962","194,301","125,920","476,381","68,563","208,273","211,950","350,672","334,244","210,151","324,469","144,474","448,306","74,004","540,288","533,213","19,558,837","1,784,815","10,709,339","2,207,460","3,792,337","7,890,746","9,191,886","2,186,463","1,163,421","3,880,427","4,078,970","633,246","1,824,621","3,335","73,827,506","153,308,641",0,"45,947,699","16,733",0,0,"321,254","199,594,327","273,421,833","271,811,087","1,610,746",0,"1,610,746",0,0,"273,421,833"
"전문, 과학 및 기술 서비스","1,230,473","257,566","9,618,973","1,881,685","1,682,908","3,511,875","18,948,053","2,179,447","7,371,240","4,295,878","11,626,563","6,823,690","7,505,694","12,591,254","1,360,367","3,805,291","2,280,424","2,936,927","28,622,476","22,823,766","7,912,817","5,094,884","14,986,875","6,840,647","4,227,609","24,810,456","6,999,656","3,481,462","4,600,680","1,629,722","1,508,855","2,418,433","7,349","235,873,995","6,460,233",0,"104,012,843","15,365,704",0,0,"31,221,303","157,060,083","392,934,078","355,695,360","37,238,718",0,"37,238,718",0,0,"392,934,078"
사업지원서비스,"232,607","256,192","888,725","524,167","659,457","811,324","1,947,732","341,697","2,356,312","1,409,721","2,786,694","1,013,169","895,704","4,645,446","216,223","4,217,670","1,358,339","1,595,665","9,747,820","13,062,215","12,267,348","1,916,900","9,694,849","9,964,464","12,003,595","17,187,438","12,801,755","5,960,451","3,886,241","3,157,354","3,473,401","928,798","5,248","142,214,721","8,531,599",0,0,0,0,0,"15,690,205","24,221,804","166,436,525","144,310,956","22,125,569",0,"22,125,569",0,0,"166,436,525"
"공공행정, 국방 및 사회보장","109,126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"658,474",0,0,0,0,0,0,0,0,0,0,0,"4,326,091","5,093,691","4,098,405","193,826,946",0,0,0,0,"34,003","197,959,354","203,053,045","202,555,649","497,396",0,"497,396",0,0,"203,053,045"
교육서비스,"3,254","1,120","41,844","10,830","22,754","31,935","135,396","20,017","81,546","107,012","83,896","77,682","102,937","65,511","4,493","252,388","25,845","25,311","73,874","864,077","69,496","93,517","149,972","339,905","184,460","421,279","83,397","15,198","76,153","24,040","21,001","93,883",676,"3,604,699","63,476,835","89,090,202",0,0,0,0,"319,935","152,886,972","156,491,671","154,338,997","2,152,674",0,"2,152,674",0,0,"156,491,671"
보건 및 사회복지서비스,"84,351","14,497","128,422","54,243","69,491","32,427","217,065","42,381","112,512","173,400","151,296","118,630","214,771","276,179","30,648","207,648","36,827","141,683","396,109","1,295,505","149,288","490,823","305,107","427,331","224,359","779,138","272,949","74,029","294,134","548,317","203,582","166,511",853,"7,734,506","74,155,571","136,924,224",0,0,0,0,"766,926","211,846,721","219,581,227","219,151,203","430,024",0,"430,024",0,0,"219,581,227"
"예술, 스포츠 및 여가 관련 서비스","65,624","36,520","133,790","96,597","97,174","65,952","329,184","64,236","260,337","250,041","128,017","127,452","225,010","112,948","33,023","270,400","55,450","123,625","262,368","388,876","637,782","136,211","2,065,257","623,398","269,687","1,931,388","535,378","166,633","1,103,277","340,119","2,691,433","369,181","1,604","13,997,972","46,878,460","4,781,313","1,094,342",0,0,"1,272","2,880,068","55,635,455","69,633,427","64,700,619","4,932,672",136,"4,932,808",0,0,"69,633,427"
기타 서비스,"99,840","31,140","298,331","102,590","112,019","149,736","383,963","138,133","363,796","358,040","430,903","295,152","412,933","351,127","37,455","625,262","66,845","363,837","595,101","3,558,930","3,307,975","647,051","731,847","931,008","440,411","2,658,213","1,459,730","355,554","1,314,276","438,915","521,658","630,784",843,"22,213,398","59,295,383",0,0,0,0,0,"1,747,533","61,042,916","83,256,314","81,600,115","1,656,199",0,"1,656,199",0,0,"83,256,314"
기타,"269,414","15,963","83,286","18,483","75,392","137,738","792,652","23,147","42,575","131,618","63,701","54,728","91,336","23,958","18,948","433,554","142,445","40,948","32,265","492,128","55,217","250,478","428,335","58,639","537,173","239,556","179,839","45,902","36,693","373,801","101,652","54,194","109,679","5,455,437","-435,478",0,0,0,0,0,0,"-435,478","5,019,959","5,019,959",0,0,0,0,0,"5,019,959"
중간투입계,"39,166,528","3,169,491","139,457,033","57,298,913","39,700,938","143,573,392","285,565,811","37,404,675","154,477,519","92,011,168","221,737,214","135,088,695","138,660,261","269,883,451","21,105,797","51,124,252","120,649,253","23,032,194","199,251,516","184,102,011","125,178,243","150,662,761","104,063,290","86,678,547","81,055,631","170,997,641","56,091,961","52,243,921","51,016,928","90,583,511","28,521,048","44,847,605","5,019,959","3,403,421,158","1,203,106,723","428,148,599","642,719,412","114,740,934","8,456,630","2,242,835","999,815,735","3,399,230,868","6,802,652,026","5,786,694,739","990,543,488","25,413,799","1,015,957,287",0,0,"6,802,652,026"
피용자보수,"7,311,007","763,130","15,128,140","6,942,083","7,714,470","1,849,380","33,024,939","5,591,739","12,874,780","22,094,377","38,330,264","18,684,449","28,417,504","24,629,085","4,430,442","30,392,667","7,229,124","9,301,644","108,270,135","105,848,898","45,972,783","37,217,436","48,448,668","52,077,047","23,572,589","119,508,944","53,019,085","89,879,718","84,723,533","91,542,475","14,325,783","21,260,262",0,"1,170,376,580",,,,,,,,,,,,,,,,
영업잉여,"20,790,625","907,945","6,246,706","1,230,526","5,894,202","10,160,438","26,725,452","2,061,144","12,662,963","15,468,441","-2,691,522","509,104","5,170,759","8,332,412","1,502,834","4,585,557","-117,531","4,067,693","6,664,903","71,028,220","16,697,450","17,852,378","24,101,295","68,918,948","64,506,524","32,838,525","24,595,921",0,"5,753,379","22,888,082","8,967,271","7,606,932",0,"495,927,576",,,,,,,,,,,,,,,,
고정자본소모,"6,826,925","492,826","7,184,340","2,607,552","1,594,645","3,179,003","26,775,718","4,858,806","10,685,788","5,299,685","59,980,214","16,524,948","11,389,415","27,105,345","906,543","10,150,938","20,286,757","5,288,608","6,766,250","18,105,570","36,332,814","5,371,797","35,261,097","12,984,833","69,279,349","28,647,148","7,189,528","60,428,502","12,635,621","13,918,268","6,439,170","4,683,288",0,"539,181,291",,,,,,,,,,,,,,,,
생산세(보조금공제),"-27,016","-6,795","14,378,726","2,081,072","1,110,431","17,800,753","4,534,298","911,160","1,198,062","1,425,139","2,455,564","1,946,311","1,845,434","7,185,378","997,653","548,886","3,631,197","108,881","21,285,495","17,403,973","-2,966,019","12,631,432","6,428,467","10,283,809","33,396,994","3,703,102","3,414,461","3,508","209,536","218,867","6,447,347","3,202,028",0,"177,788,134",,,,,,,,,,,,,,,,
부가가치계,"34,901,541","2,157,106","42,937,912","12,861,233","16,313,748","32,989,574","91,060,407","13,422,849","37,421,593","44,287,642","98,074,520","37,664,812","46,823,112","67,252,220","7,837,472","45,678,048","31,029,547","18,766,826","142,986,783","212,386,661","96,037,028","73,073,043","114,239,527","144,264,637","190,755,456","184,697,719","88,218,995","150,311,728","103,322,069","128,567,692","36,179,571","36,752,510",0,"2,383,273,581",,,,,,,,,,,,,,,,
총투입계,"74,068,069","5,326,597","182,394,945","70,160,146","56,014,686","176,562,966","376,626,218","50,827,524","191,899,112","136,298,810","319,811,734","172,753,507","185,483,373","337,135,671","28,943,269","96,802,300","151,678,800","41,799,020","342,238,299","396,488,672","221,215,271","223,735,804","218,302,817","230,943,184","271,811,087","355,695,360","144,310,956","202,555,649","154,338,997","219,151,203","64,700,619","81,600,115","5,019,959","5,786,694,739",,,,,,,,,,,,,,,,
